InDate,ExDate,Position,Duration,Entry,Exit,Value,PNL
2007-06-08,2007-06-21,283,13,66.78504,68.17991,394.74821000000327,9355.788982000007
2007-06-27,2007-07-11,290,14,66.58924,68.51421,558.2413000000006,9914.030282000007
2007-07-25,2007-07-26,299,1,66.577208,64.19066,-713.5778520000015,9200.452430000005
2007-10-17,2007-10-30,283,13,67.837047,66.58354,-354.7424809999997,8845.709949000006
2008-08-20,2008-09-03,311,14,60.472339,61.28227,251.88854099999963,9097.598490000006
2009-06-16,2009-06-29,440,13,43.327303,42.89194,-191.55972000000105,8906.038770000005
2009-07-08,2009-07-21,462,13,40.849296,44.06715,1486.6485479999978,10392.687318000002
2009-08-18,2009-08-31,439,13,46.377639,48.05797,737.6653089999979,11130.352627
2009-09-01,2009-09-15,442,14,47.772314,50.86417,1366.600352,12496.952979
2009-09-25,2009-10-08,445,13,50.453342,51.12706,299.8045100000004,12796.757489
2009-10-22,2009-10-30,447,8,50.933379,47.43843,-1562.2422030000025,11234.515285999998
2009-11-02,2009-11-13,445,11,47.691092,49.45959,786.9816100000005,12021.496895999999
2009-11-30,2009-12-11,453,11,48.550083,50.6723,961.3643009999996,12982.861196999998
2010-01-22,2010-02-04,433,13,53.068058,49.92255,-1362.0049639999997,11620.856232999999
2010-02-05,2010-02-19,432,14,50.032443,53.32174,1420.976303999999,13041.832536999998
2010-05-05,2010-05-18,386,13,59.659532,57.93872,-664.2334319999982,12377.599105000001
2010-05-20,2010-06-03,401,14,55.751748,56.72658,390.9076319999997,12768.506737000002
2010-06-07,2010-06-18,420,11,54.11571,56.62486,1053.8429999999992,13822.349737
2010-06-23,2010-07-07,435,14,54.743017,51.9635,-1209.0898949999994,12613.259842000001
2010-11-15,2010-11-29,366,14,61.711435,62.5214,296.44718999999935,12909.707032
2011-01-03,2011-01-14,338,11,67.609284,68.97961,463.1701879999971,13372.877219999997
2011-01-21,2011-02-03,348,13,66.984033,68.28587,453.03927600000213,13825.916495999998
2011-02-24,2011-03-09,347,13,68.482853,70.29857,630.0537989999973,14455.970294999996
2011-03-11,2011-03-24,359,13,67.951801,69.95609,719.539751,15175.510045999996
2011-04-12,2011-04-26,354,14,71.054664,73.1059,726.1375440000011,15901.647589999997
2011-05-05,2011-05-18,365,13,70.925932,71.48379,203.61816999999854,16105.265759999995
2011-05-24,2011-06-03,372,10,70.024794,69.41541,-226.69084800000212,15878.574911999993
2011-06-07,2011-06-20,376,13,68.694496,67.75896,-351.76153599999964,15526.813375999993
2011-07-15,2011-07-28,358,13,71.113294,68.72881,-853.6452720000002,14673.168103999993
2011-07-29,2011-08-04,364,6,67.764662,62.49638,-1917.6546479999997,12755.513455999993
2012-03-01,2012-03-14,322,13,70.669125,71.53754,279.6296300000042,13035.143085999998
2012-04-05,2012-04-10,324,5,71.077411,68.24648,-917.2216439999976,12117.921442
2012-04-11,2012-04-24,321,13,68.821389,69.42242,192.93095100000195,12310.852393000003
2012-05-07,2012-05-17,325,10,68.603645,65.67692,-951.1856250000016,11359.666768000001
2012-05-18,2012-06-01,325,14,65.668193,64.30067,-444.4449750000018,10915.221792999999
2012-07-24,2012-08-06,306,13,68.235325,69.34704,340.18479000000116,11255.406583
2012-09-26,2012-10-09,288,13,73.686148,72.58767,-316.361664,10939.044919
2012-10-10,2012-10-23,288,13,72.649187,71.55072,-316.35849599999983,10622.686423
2012-11-08,2012-11-21,292,13,70.452224,70.02161,-125.73928800000164,10496.947134999997
2013-02-22,2013-03-07,255,13,80.139174,82.31969,556.0315799999993,11052.978714999996
2013-04-02,2013-04-15,252,13,83.360037,80.09783,-822.076164000001,10230.902550999996
2013-04-16,2013-04-29,250,13,80.720045,83.17336,613.3287500000008,10844.231300999996
2013-06-06,2013-06-19,243,13,85.653371,87.36893,416.88083699999976,11261.112137999997
2013-06-21,2013-07-05,250,14,85.013377,88.98373,992.5882499999972,12253.700387999994
2013-08-16,2013-08-29,244,13,90.894292,91.03716,34.85979200000173,12288.560179999995
2013-09-03,2013-09-16,245,13,90.938917,93.77801,695.5777849999979,12984.137964999993
2013-10-09,2013-10-22,246,13,93.365186,99.14792,1422.5525640000012,14406.690528999994
2013-11-01,2013-11-14,249,13,97.93945,98.83463,222.89982000000262,14629.590348999996
2013-12-12,2013-12-26,250,14,98.199058,103.54646,1336.8505000000007,15966.440848999997
2014-01-27,2014-02-07,253,11,102.243498,99.52069,-688.8704240000002,15277.570424999996
2014-03-27,2014-04-09,244,13,103.345347,103.83185,118.70673199999976,15396.277156999997
